track	start	end	label
ElaRadayene-Bhairavi TQC-NK	02.43	02.45	rgsrndp


NeeSatiDora-Bhairavi-TQ-Unknown	00.02	00.06	nsnsr
NeeSatiDora-Bhairavi-TQ-Unknown	00.08	00.10	nrndp
NeeSatiDora-Bhairavi-TQ-Unknown	00.13	00.16	d,-p,-m,,,-D,-p-m-g,-r,
NeeSatiDora-Bhairavi-TQ-Unknown	00.34	00.36	gmpd'
NeeSatiDora-Bhairavi-TQ-Unknown	00.52	00.54	d'ndp
NeeSatiDora-Bhairavi-TQ-Unknown	00.56	01.00	gpgrgs
NeeSatiDora-Bhairavi-TQ-Unknown	01.00	01.03	nsgrgmpdp
NeeSatiDora-Bhairavi-TQ-Unknown	01.21	01.22	mgm
NeeSatiDora-Bhairavi-TQ-Unknown	01.44	01.46	rgmpdp

NiPadamule-bhairavi-PSI-DKP	00.05	00.09	rsnrsndp
NiPadamule-bhairavi-PSI-DKP	00.09	00.11	pdnd'npdm
NiPadamule-bhairavi-PSI-DKP	00.36	00.38	rmgrsgrsnd'
NiPadamule-bhairavi-PSI-DKP	00.39	00.40	nsrgmrgs
NiPadamule-bhairavi-PSI-DKP	01.027	01.30	dpmdp
NiPadamule-bhairavi-PSI-DKP	01.35	01.37	nsns
NiPadamule-bhairavi-PSI-DKP	01.54	01.55	nndd
NiPadamule-bhairavi-PSI-DKP	01.57	01.59	rgrsr
NiPadamule-bhairavi-PSI-DKP	02.17	02.18	gmpd'ns
NiPadamule-bhairavi-PSI-DKP	02.49	02.51	mgpgrgmp
NiPadamule-bhairavi-PSI-DKP	03.09	03.12	grgmpdpdnpdm
NiPadamule-bhairavi-PSI-DKP	03.15	03.18	srgpgr
NiPadamule-bhairavi-PSI-DKP	03.31	03.34	rgmmrgrs
NiPadamule-bhairavi-PSI-DKP	03.36	03.39	mpdpdmpd'ns
NiPadamule-bhairavi-PSI-DKP	03.50	03.52	spd'nsr

RaRaDasaratha-Bhairavi-WVB-PR	00.03	00.06	nsgrgmp
RaRaDasaratha-Bhairavi-WVB-PR	00.17	00.19	dmpd'
RaRaDasaratha-Bhairavi-WVB-PR	00.21	00.23	mndpmgrs
RaRaDasaratha-Bhairavi-WVB-PR	01.07	01.09	d'nsgr
RaRaDasaratha-Bhairavi-WVB-PR	01.20	01.22	rgsrsndp
RaRaDasaratha-Bhairavi-WVB-PR	01.58	02.01	pdndp
RaRaDasaratha-Bhairavi-WVB-PR	02.04	02.08	npd'rsndp
RaRaDasaratha-Bhairavi-WVB-PR	02.10	02.13	pdndp
RaRaDasaratha-Bhairavi-WVB-PR	02.10	02.13	dpm
RaRaDasaratha-Bhairavi-WVB-PR	02.39	02.43	nnsgrsrgsrndp


Ramarama-Bhairavi-Kshetragna-RR	00.07	00.08	n
Ramarama-Bhairavi-Kshetragna-RR	00.12	00.15	nrsndp
Ramarama-Bhairavi-Kshetragna-RR	00.16	00.21	md'pmgrs
Ramarama-Bhairavi-Kshetragna-RR	00.23	00.27	nsd'
Ramarama-Bhairavi-Kshetragna-RR	01.53	01.56	nsd'ns
Ramarama-Bhairavi-Kshetragna-RR	01.56	01.58	srggr
Ramarama-Bhairavi-Kshetragna-RR	02.00	02.03	gmpmg
Ramarama-Bhairavi-Kshetragna-RR	02.03	02.05	pgrs
Ramarama-Bhairavi-Kshetragna-RR	02.40	02.42	pd'ndp
Ramarama-Bhairavi-Kshetragna-RR	02.43	02.46	md'pmgrs
Ramarama-Bhairavi-Kshetragna-RR	03.02	03.06	gmpdp
Ramarama-Bhairavi-Kshetragna-RR	03.07	03.10	ndpm
Ramarama-Bhairavi-Kshetragna-RR	04.08	04.10	nd'ns
Ramarama-Bhairavi-Kshetragna-RR	04.10	04.13	nsrsndp
Ramarama-Bhairavi-Kshetragna-RR	04.14	04.15	sd'ns
Ramarama-Bhairavi-Kshetragna-RR	04.18	04.19	mpgr
Ramarama-Bhairavi-Kshetragna-RR	04.20	04.23	gmpdpd'pd'
Ramarama-Bhairavi-Kshetragna-RR	04.52	04.54	rns
Ramarama-Bhairavi-Kshetragna-RR	04.54	04.57	pdp
Ramarama-Bhairavi-Kshetragna-RR	05.00	05.04	ndp
Ramarama-Bhairavi-Kshetragna-RR	05.51	05.53	mpdp
Ramarama-Bhairavi-Kshetragna-RR	05.54	05.57	mdpmgrs
Ramarama-Bhairavi-Kshetragna-RR	06.05	06.07	grsn
Ramarama-Bhairavi-Kshetragna-RR	06.08	06.10	sgrgm
Ramarama-Bhairavi-Kshetragna-RR	06.12	06.15	d'nsndp
Ramarama-Bhairavi-Kshetragna-RR	06.23	06.28	srggr
Ramarama-Bhairavi-Kshetragna-RR	06.26	06.29	gmpmg

SriKesava-Bhairavi-MV-MSSh	00.02	00.03	pmgrs
SriKesava-Bhairavi-MV-MSSh	00.04	00.06	rgmrgrs
SriKesava-Bhairavi-MV-MSSh	00.07	00.08	sgr
SriKesava-Bhairavi-MV-MSSh	01.16	01.18	pdndpm
SriKesava-Bhairavi-MV-MSSh	01.18	01.19	pdndpd'
SriKesava-Bhairavi-MV-MSSh	02.31	02.32	pdndp
SriKesava-Bhairavi-MV-MSSh	02.33	02.35	mgpmdp
SriKesava-Bhairavi-MV-MSSh	02.49	02.50	rgm
SriKesava-Bhairavi-MV-MSSh	02.50	02.53	mndp
SriKesava-Bhairavi-MV-MSSh	02.53	02.55	mmm
SriKesava-Bhairavi-MV-MSSh	02.55	02.57	mgpmdp
SriKesava-Bhairavi-MV-MSSh	02.58	02.59	rgm
SriKesava-Bhairavi-MV-MSSh	03.01	03.02	nddp

SriLalita-bhairavi-AS-RKM	00.01	00.02	rsn
SriLalita-bhairavi-AS-RKM	00.03	00.04	grgmpd
SriLalita-bhairavi-AS-RKM	00.06	00.08	mpdns
SriLalita-bhairavi-AS-RKM	00.09	00.11	mndp
